Week,30 yr FRM,30 yr fees and points,15 yr FRM,15 yr fees and points,5/1 ARM,5/1 ARM fees and points,5/1  ARM margin,1  yr ARM,1 yr ARM fees and points,1 yr ARM margin,30 yr FRM 1 yr ARM spread
1/2,4.53,0.8,3.55,0.7,3.05,0.4,2.74,2.56,0.5,2.75,1.97
1/9,4.51,0.7,3.56,0.6,3.15,0.4,2.75,2.56,0.5,2.73,1.95
1/16,4.41,0.7,3.45,0.7,3.10,0.5,2.74,2.56,0.5,2.71,1.85
1/23,4.39,0.7,3.44,0.7,3.15,0.5,2.74,2.54,0.5,2.72,1.85
1/30,4.32,0.7,3.40,0.6,3.12,0.5,2.74,2.55,0.4,2.71,1.77
2/6,4.23,0.7,3.33,0.7,3.08,0.5,2.74,2.51,0.5,2.70,1.72
2/13,4.28,0.7,3.33,0.7,3.05,0.5,2.74,2.55,0.4,2.71,1.73
2/20,4.33,0.7,3.35,0.7,3.08,0.5,2.74,2.57,0.3,2.71,1.76
2/27,4.37,0.7,3.39,0.7,3.05,0.5,2.74,2.52,0.4,2.71,1.85
3/6,4.28,0.7,3.32,0.6,3.03,0.4,2.75,2.52,0.3,2.71,1.76
3/13,4.37,0.6,3.38,0.6,3.09,0.4,2.74,2.48,0.4,2.71,1.89
3/20,4.32,0.6,3.32,0.6,3.02,0.4,2.74,2.49,0.4,2.71,1.83
3/27,4.40,0.6,3.42,0.6,3.10,0.5,2.74,2.44,0.4,2.71,1.96
4/3,4.41,0.7,3.47,0.6,3.12,0.5,2.75,2.45,0.4,2.72,1.96
4/10,4.34,0.7,3.38,0.6,3.09,0.5,2.74,2.41,0.5,2.71,1.93
4/17,4.27,0.7,3.33,0.6,3.03,0.5,2.73,2.44,0.5,2.72,1.83
4/24,4.33,0.6,3.39,0.6,3.03,0.5,2.73,2.44,0.5,2.72,1.89
5/1,4.29,0.7,3.38,0.6,3.05,0.4,2.74,2.45,0.5,2.72,1.84
5/8,4.21,0.6,3.32,0.6,3.05,0.5,2.74,2.43,0.4,2.71,1.78
5/15,4.20,0.6,3.29,0.6,3.01,0.4,2.72,2.43,0.5,2.72,1.77
5/22,4.14,0.6,3.25,0.5,2.96,0.4,2.74,2.43,0.4,2.72,1.71
5/29,4.12,0.6,3.21,0.5,2.96,0.3,2.72,2.41,0.4,2.72,1.71
6/5,4.14,0.5,3.23,0.5,2.93,0.4,2.73,2.40,0.4,2.71,1.74
6/12,4.20,0.6,3.31,0.5,3.05,0.4,2.74,2.40,0.4,2.71,1.80
6/19,4.17,0.6,3.30,0.5,3.00,0.4,2.73,2.41,0.4,2.72,1.76
6/26,4.14,0.5,3.22,0.5,2.98,0.3,2.73,2.40,0.4,2.72,1.74
7/3,4.12,0.5,3.22,0.5,2.98,0.4,2.73,2.38,0.4,2.72,1.74
7/10,4.15,0.7,3.24,0.6,2.99,0.4,2.73,2.40,0.4,2.72,1.75
7/17,4.13,0.6,3.23,0.5,2.97,0.4,2.74,2.39,0.4,2.73,1.74
7/24,4.13,0.6,3.26,0.6,2.99,0.5,2.74,2.39,0.4,2.73,1.74
7/31,4.12,0.6,3.23,0.7,3.01,0.5,2.74,2.38,0.4,2.73,1.74
8/7,4.14,0.7,3.27,0.6,2.98,0.5,2.73,2.35,0.5,2.73,1.79
8/14,4.12,0.6,3.24,0.6,2.97,0.5,2.74,2.36,0.5,2.73,1.76
8/21,4.10,0.5,3.23,0.6,2.95,0.5,2.74,2.38,0.5,2.73,1.72
8/28,4.10,0.5,3.25,0.6,2.97,0.5,2.74,2.39,0.5,2.73,1.71
9/4,4.10,0.5,3.24,0.5,2.97,0.5,2.74,2.40,0.4,2.73,1.70
9/11,4.12,0.5,3.26,0.5,2.99,0.5,2.74,2.45,0.4,2.73,1.67
9/18,4.23,0.5,3.37,0.5,3.06,0.5,2.74,2.43,0.4,2.73,1.80
9/25,4.20,0.5,3.36,0.5,3.08,0.4,2.74,2.43,0.4,2.73,1.77
10/2,4.19,0.4,3.36,0.5,3.06,0.5,2.74,2.42,0.4,2.74,1.77
10/9,4.12,0.5,3.3,0.5,3.05,0.5,2.74,2.42,0.4,2.73,1.70
10/16,3.97,0.5,3.18,0.5,2.92,0.5,2.74,2.38,0.4,2.73,1.59
10/23,3.92,0.5,3.08,0.5,2.91,0.5,2.75,2.41,0.4,2.73,1.51
10/30,3.98,0.5,3.13,0.5,2.94,0.5,2.74,2.43,0.4,2.73,1.55
11/6,4.02,0.5,3.21,0.5,2.97,0.5,2.74,2.45,0.4,2.74,1.57
11/13,4.01,0.5,3.2,0.5,3.02,0.5,2.74,2.43,0.4,2.74,1.58
11/20,3.99,0.5,3.17,0.5,3.01,0.5,2.74,2.44,0.4,2.74,1.55
11/26,3.97,0.5,3.17,0.5,3.01,0.5,2.74,2.44,0.4,2.73,1.53
12/4,3.89,0.5,3.1,0.5,2.94,0.5,2.74,2.41,0.4,2.74,1.48
12/11,3.93,0.5,3.2,0.5,2.98,0.5,2.74,2.40,0.4,2.74,1.53
12/18,3.8,0.6,3.09,0.6,2.95,0.5,2.74,2.38,0.4,2.74,1.42
12/24,3.83,0.6,3.1,0.6,3.01,0.5,2.74,2.39,0.4,2.74,1.44
12/31,3.87,0.6,3.15,0.6,3.01,0.5,2.74,2.40,0.4,2.75,1.47
