Week,30 yr FRM,30 yr fees and points,15 yr FRM,15 yr fees and points,5/1 ARM,5/1 ARM fees and points,5/1  ARM margin,1  yr ARM,1 yr ARM fees and points,1 yr ARM margin,30 yr FRM 1 yr ARM spread
1/5,3.91,0.8,3.23,0.8,2.86,0.7,2.74,2.80,0.6,2.76,1.11
1/12,3.89,0.7,3.16,0.8,2.82,0.7,2.74,2.76,0.6,2.76,1.13
1/19,3.88,0.8,3.17,0.8,2.82,0.7,2.74,2.74,0.6,2.76,1.14
1/26,3.98,0.7,3.24,0.8,2.85,0.7,2.74,2.74,0.6,2.76,1.24
2/2,3.87,0.8,3.14,0.8,2.80,0.7,2.74,2.76,0.6,2.76,1.11
2/9,3.87,0.8,3.16,0.7,2.83,0.7,2.74,2.78,0.6,2.76,1.09
2/16,3.87,0.8,3.16,0.8,2.82,0.8,2.74,2.84,0.6,2.76,1.03
2/23,3.95,0.8,3.19,0.8,2.80,0.7,2.74,2.73,0.6,2.76,1.22
3/1,3.90,0.8,3.17,0.8,2.83,0.7,2.74,2.72,0.6,2.76,1.18
3/8,3.88,0.8,3.13,0.8,2.81,0.7,2.74,2.73,0.6,2.76,1.15
3/15,3.92,0.8,3.16,0.8,2.83,0.8,2.74,2.79,0.6,2.76,1.13
3/22,4.08,0.8,3.30,0.8,2.96,0.7,2.74,2.84,0.6,2.76,1.24
3/29,3.99,0.7,3.23,0.8,2.90,0.8,2.74,2.78,0.6,2.76,1.21
4/5,3.98,0.7,3.21,0.7,2.86,0.8,2.74,2.78,0.6,2.76,1.20
4/12,3.88,0.7,3.11,0.7,2.85,0.7,2.74,2.80,0.6,2.76,1.08
4/19,3.90,0.8,3.13,0.7,2.78,0.7,2.74,2.81,0.6,2.76,1.09
4/26,3.88,0.7,3.12,0.6,2.85,0.6,2.74,2.74,0.6,2.76,1.14
5/3,3.84,0.8,3.07,0.7,2.85,0.7,2.74,2.70,0.6,2.76,1.14
5/10,3.83,0.7,3.05,0.7,2.81,0.5,2.74,2.73,0.5,2.76,1.10
5/17,3.79,0.7,3.04,0.7,2.83,0.6,2.74,2.78,0.5,2.76,1.01
5/24,3.78,0.8,3.04,0.7,2.83,0.6,2.74,2.75,0.4,2.76,1.03
5/31,3.75,0.8,2.97,0.7,2.84,0.6,2.74,2.75,0.4,2.76,1.00
6/7,3.67,0.7,2.94,0.7,2.84,0.7,2.74,2.79,0.4,2.76,0.88
6/14,3.71,0.7,2.98,0.7,2.80,0.6,2.74,2.78,0.5,2.76,0.93
6/21,3.66,0.7,2.95,0.6,2.77,0.6,2.74,2.74,0.5,2.76,0.92
6/28,3.66,0.7,2.94,0.7,2.79,0.6,2.74,2.74,0.4,2.76,0.92
7/5,3.62,0.8,2.89,0.7,2.79,0.6,2.74,2.68,0.5,2.76,0.94
7/12,3.56,0.7,2.86,0.7,2.74,0.6,2.74,2.69,0.4,2.75,0.87
7/19,3.53,0.7,2.83,0.6,2.69,0.6,2.74,2.69,0.4,2.76,0.84
7/26,3.49,0.7,2.80,0.7,2.74,0.6,2.74,2.71,0.5,2.76,0.78
8/2,3.55,0.7,2.83,0.6,2.75,0.6,2.75,2.70,0.4,2.76,0.85
8/9,3.59,0.6,2.84,0.6,2.77,0.6,2.75,2.65,0.4,2.76,0.94
8/16,3.62,0.6,2.88,0.6,2.76,0.6,2.75,2.69,0.4,2.76,0.93
8/23,3.66,0.7,2.89,0.7,2.80,0.6,2.74,2.66,0.4,2.77,1.00
8/30,3.59,0.6,2.86,0.6,2.78,0.6,2.74,2.63,0.4,2.76,0.96
9/6,3.55,0.7,2.86,0.6,2.75,0.7,2.74,2.61,0.4,2.76,0.94
9/13,3.55,0.6,2.85,0.6,2.72,0.6,2.74,2.61,0.4,2.76,0.94
9/20,3.49,0.6,2.77,0.6,2.76,0.6,2.75,2.61,0.4,2.76,0.88
9/27,3.40,0.6,2.73,0.6,2.71,0.6,2.74,2.60,0.4,2.76,0.80
10/4,3.36,0.6,2.69,0.5,2.72,0.6,2.74,2.57,0.4,2.76,0.79
10/11,3.39,0.7,2.70,0.6,2.73,0.6,2.74,2.59,0.4,2.77,0.80
10/18,3.37,0.7,2.66,0.6,2.75,0.6,2.74,2.60,0.4,2.77,0.77
10/25,3.41,0.7,2.72,0.6,2.75,0.6,2.75,2.59,0.4,2.76,0.82
11/1,3.39,0.7,2.70,0.7,2.74,0.6,2.74,2.58,0.4,2.76,0.81
11/8,3.40,0.7,2.69,0.7,2.73,0.6,2.74,2.59,0.4,2.76,0.81
11/15,3.34,0.7,2.65,0.7,2.74,0.6,2.74,2.55,0.3,2.76,0.79
11/21,3.31,0.7,2.63,0.6,2.74,0.6,2.74,2.56,0.4,2.76,0.75
11/29,3.32,0.8,2.64,0.6,2.72,0.6,2.74,2.56,0.5,2.76,0.76
12/6,3.34,0.7,2.67,0.6,2.69,0.6,2.74,2.55,0.4,2.76,0.79
12/13,3.32,0.7,2.66,0.6,2.70,0.6,2.74,2.53,0.5,2.76,0.79
12/20,3.37,0.7,2.65,0.7,2.71,0.7,2.74,2.52,0.4,2.76,0.85
12/27,3.35,0.7,2.65,0.7,2.70,0.7,2.74,2.56,0.5,2.75,0.79
