Week,30 yr FRM,30 yr fees and points,15 yr FRM,15 yr fees and points,5/1 ARM,5/1 ARM fees and points,5/1  ARM margin,1  yr ARM,1 yr ARM fees and points,1 yr ARM margin,30 yr FRM 1 yr ARM spread
1/7,5.09,0.7,4.50,0.7,4.44,0.6,2.74,4.31,0.6,2.75,0.78
1/14,5.06,0.7,4.45,0.6,4.32,0.6,2.74,4.39,0.5,2.75,0.67
1/21,4.99,0.7,4.40,0.6,4.27,0.6,2.74,4.32,0.6,2.74,0.67
1/28,4.98,0.6,4.39,0.6,4.25,0.6,2.74,4.29,0.5,2.75,0.69
2/4,5.01,0.7,4.40,0.7,4.27,0.6,2.74,4.22,0.5,2.75,0.79
2/11,4.97,0.7,4.34,0.6,4.19,0.6,2.73,4.33,0.6,2.76,0.64
2/18,4.93,0.7,4.33,0.6,4.12,0.5,2.74,4.23,0.6,2.75,0.70
2/25,5.05,0.7,4.40,0.7,4.16,0.6,2.74,4.15,0.6,2.75,0.90
3/4,4.97,0.7,4.33,0.7,4.11,0.6,2.74,4.27,0.6,2.75,0.70
3/11,4.95,0.7,4.32,0.7,4.05,0.6,2.74,4.22,0.6,2.75,0.73
3/18,4.96,0.7,4.33,0.6,4.09,0.6,2.74,4.12,0.6,2.75,0.84
3/25,4.99,0.6,4.34,0.6,4.14,0.6,2.74,4.20,0.6,2.75,0.79
4/1,5.08,0.7,4.39,0.6,4.10,0.6,2.75,4.05,0.6,2.75,1.03
4/8,5.21,0.6,4.52,0.6,4.25,0.6,2.75,4.14,0.5,2.75,1.07
4/15,5.07,0.6,4.40,0.7,4.08,0.6,2.74,4.13,0.5,2.74,0.94
4/22,5.07,0.7,4.39,0.6,4.03,0.6,2.75,4.22,0.5,2.75,0.85
4/29,5.06,0.7,4.39,0.7,4.00,0.6,2.75,4.25,0.5,2.75,0.81
5/6,5.00,0.7,4.36,0.7,3.97,0.7,2.74,4.07,0.6,2.75,0.93
5/13,4.93,0.7,4.30,0.6,3.95,0.6,2.74,4.02,0.6,2.75,0.91
5/20,4.84,0.7,4.24,0.7,3.91,0.6,2.74,4.00,0.6,2.75,0.84
5/27,4.78,0.7,4.21,0.7,3.97,0.7,2.75,3.95,0.6,2.75,0.83
6/3,4.79,0.8,4.20,0.7,3.94,0.7,2.74,3.95,0.7,2.75,0.84
6/10,4.72,0.7,4.17,0.7,3.92,0.7,2.75,3.91,0.6,2.76,0.81
6/17,4.75,0.7,4.20,0.7,3.89,0.7,2.75,3.82,0.6,2.75,0.93
6/24,4.69,0.7,4.13,0.6,3.84,0.7,2.74,3.77,0.7,2.74,0.92
7/1,4.58,0.7,4.04,0.7,3.79,0.7,2.75,3.80,0.7,2.75,0.78
7/8,4.57,0.7,4.07,0.7,3.75,0.7,2.74,3.75,0.7,2.77,0.82
7/15,4.57,0.7,4.06,0.7,3.85,0.7,2.74,3.74,0.7,2.77,0.83
7/22,4.56,0.7,4.03,0.7,3.79,0.6,2.74,3.70,0.7,2.77,0.86
7/29,4.54,0.7,4.00,0.7,3.76,0.7,2.75,3.64,0.7,2.77,0.90
8/5,4.49,0.7,3.95,0.6,3.63,0.6,2.74,3.55,0.7,2.77,0.94
8/12,4.44,0.7,3.92,0.6,3.56,0.7,2.74,3.53,0.7,2.77,0.91
8/19,4.42,0.7,3.90,0.6,3.56,0.6,2.74,3.53,0.7,2.77,0.89
8/26,4.36,0.7,3.86,0.6,3.56,0.6,2.75,3.52,0.7,2.78,0.84
9/2,4.32,0.7,3.83,0.6,3.54,0.6,2.75,3.50,0.7,2.77,0.82
9/9,4.35,0.7,3.83,0.6,3.56,0.6,2.75,3.46,0.7,2.77,0.89
9/16,4.37,0.7,3.82,0.6,3.55,0.6,2.74,3.40,0.7,2.77,0.97
9/23,4.37,0.7,3.82,0.7,3.54,0.6,2.75,3.46,0.7,2.77,0.91
9/30,4.32,0.8,3.75,0.7,3.52,0.6,2.75,3.48,0.7,2.77,0.84
10/7,4.27,0.8,3.72,0.7,3.47,0.6,2.74,3.40,0.7,2.77,0.87
10/14,4.19,0.8,3.62,0.7,3.47,0.6,2.74,3.43,0.8,2.76,0.76
10/21,4.21,0.8,3.64,0.7,3.45,0.6,2.76,3.30,0.7,2.77,0.91
10/28,4.23,0.8,3.66,0.7,3.41,0.6,2.75,3.30,0.7,2.76,0.93
11/4,4.24,0.8,3.63,0.7,3.39,0.6,2.75,3.26,0.7,2.77,0.98
11/11,4.17,0.8,3.57,0.8,3.25,0.7,2.75,3.26,0.7,2.77,0.91
11/18,4.39,0.9,3.76,0.7,3.40,0.7,2.75,3.26,0.6,2.77,1.13
11/24,4.40,0.8,3.77,0.7,3.45,0.6,2.75,3.23,0.6,2.77,1.17
12/2,4.46,0.8,3.81,0.7,3.49,0.6,2.75,3.25,0.6,2.76,1.21
12/9,4.61,0.7,3.96,0.7,3.60,0.6,2.75,3.27,0.6,2.77,1.34
12/16,4.83,0.7,4.17,0.7,3.77,0.7,2.74,3.35,0.7,2.76,1.48
12/23,4.81,0.7,4.15,0.7,3.75,0.6,2.75,3.40,0.7,2.76,1.41
12/30,4.86,0.8,4.20,0.8,3.77,0.7,2.75,3.26,0.6,2.76,1.60
