Week,30 yr FRM,30 yr fees and points,15 yr FRM,15 yr fees and points,5/1 ARM,5/1 ARM fees and points,5/1  ARM margin,1  yr ARM,1 yr ARM fees and points,1 yr ARM margin,30 yr FRM 1 yr ARM spread
1/3,3.34,0.7,2.64,0.6,2.71,0.6,2.75,2.57,0.4,2.76,0.77
1/10,3.40,0.7,2.66,0.7,2.67,0.6,2.73,2.60,0.5,2.74,0.80
1/17,3.38,0.7,2.66,0.7,2.67,0.6,2.74,2.57,0.4,2.76,0.81
1/24,3.42,0.7,2.71,0.7,2.67,0.5,2.74,2.57,0.5,2.76,0.85
1/31,3.53,0.7,2.81,0.7,2.70,0.6,2.74,2.59,0.5,2.76,0.94
2/7,3.53,0.8,2.77,0.7,2.63,0.6,2.74,2.53,0.4,2.76,1.00
2/14,3.53,0.8,2.77,0.8,2.64,0.6,2.75,2.61,0.3,2.76,0.92
2/21,3.56,0.8,2.77,0.8,2.64,0.5,2.75,2.65,0.4,2.76,0.91
2/28,3.51,0.8,2.76,0.8,2.61,0.6,2.76,2.64,0.4,2.76,0.87
3/7,3.52,0.7,2.76,0.7,2.63,0.5,2.75,2.63,0.3,2.76,0.89
3/14,3.63,0.8,2.79,0.8,2.61,0.6,2.74,2.64,0.4,2.76,0.99
3/21,3.54,0.8,2.72,0.7,2.61,0.6,2.74,2.63,0.4,2.75,0.91
3/28,3.57,0.8,2.76,0.7,2.68,0.6,2.75,2.62,0.3,2.75,0.95
4/4,3.54,0.8,2.74,0.7,2.65,0.5,2.75,2.63,0.4,2.76,0.91
4/11,3.43,0.8,2.65,0.7,2.62,0.5,2.75,2.62,0.3,2.75,0.81
4/18,3.41,0.7,2.64,0.7,2.60,0.5,2.75,2.63,0.4,2.75,0.78
4/25,3.40,0.8,2.61,0.7,2.58,0.5,2.74,2.62,0.3,2.76,0.78
5/2,3.35,0.7,2.56,0.7,2.56,0.5,2.75,2.56,0.3,2.76,0.79
5/9,3.42,0.7,2.61,0.7,2.58,0.5,2.76,2.53,0.4,2.76,0.89
5/16,3.51,0.7,2.69,0.7,2.62,0.5,2.75,2.55,0.4,2.77,0.96
5/23,3.59,0.7,2.77,0.7,2.63,0.5,2.75,2.55,0.4,2.76,1.04
5/30,3.81,0.8,2.98,0.7,2.66,0.5,2.75,2.54,0.5,2.77,1.27
6/6,3.91,0.7,3.03,0.7,2.74,0.5,2.75,2.58,0.4,2.76,1.33
6/13,3.98,0.7,3.10,0.7,2.79,0.6,2.76,2.58,0.4,2.76,1.40
6/20,3.93,0.8,3.04,0.7,2.79,0.5,2.76,2.57,0.4,2.77,1.36
6/27,4.46,0.8,3.50,0.8,3.08,0.7,2.74,2.66,0.5,2.77,1.80
7/3,4.29,0.7,3.39,0.7,3.10,0.7,2.75,2.66,0.4,2.77,1.63
7/11,4.51,0.8,3.53,0.8,3.26,0.7,2.75,2.66,0.5,2.77,1.85
7/18,4.37,0.7,3.41,0.7,3.17,0.6,2.75,2.66,0.4,2.75,1.71
7/25,4.31,0.8,3.39,0.8,3.16,0.7,2.74,2.65,0.4,2.75,1.66
8/1,4.39,0.7,3.43,0.7,3.18,0.6,2.74,2.64,0.4,2.74,1.75
8/8,4.40,0.7,3.43,0.7,3.19,0.5,2.75,2.62,0.3,2.75,1.78
8/15,4.40,0.7,3.44,0.6,3.23,0.5,2.74,2.67,0.4,2.76,1.73
8/22,4.58,0.8,3.60,0.7,3.21,0.5,2.75,2.67,0.5,2.77,1.91
8/29,4.51,0.7,3.54,0.7,3.24,0.5,2.75,2.64,0.4,2.76,1.87
9/5,4.57,0.7,3.59,0.7,3.28,0.5,2.75,2.71,0.5,2.77,1.86
9/12,4.57,0.8,3.59,0.7,3.22,0.5,2.75,2.67,0.4,2.77,1.90
9/19,4.50,0.7,3.54,0.7,3.11,0.5,2.74,2.65,0.4,2.75,1.85
9/26,4.32,0.7,3.37,0.7,3.07,0.5,2.75,2.63,0.4,2.76,1.69
10/3,4.22,0.7,3.29,0.7,3.03,0.6,2.74,2.63,0.4,2.77,1.59
10/10,4.23,0.7,3.31,0.7,3.05,0.4,2.74,2.64,0.4,2.77,1.59
10/17,4.28,0.7,3.33,0.7,3.07,0.4,2.74,2.63,0.4,2.77,1.65
10/24,4.13,0.8,3.24,0.6,3.00,0.4,2.74,2.60,0.5,2.77,1.53
10/31,4.10,0.7,3.20,0.7,2.96,0.4,2.76,2.64,0.4,2.76,1.46
11/7,4.16,0.8,3.27,0.7,2.96,0.5,2.75,2.61,0.5,2.77,1.55
11/14,4.35,0.7,3.35,0.7,3.01,0.4,2.74,2.61,0.4,2.75,1.74
11/21,4.22,0.7,3.27,0.7,2.95,0.5,2.75,2.61,0.4,2.75,1.61
11/27,4.29,0.7,3.30,0.7,2.94,0.5,2.74,2.60,0.4,2.76,1.69
12/5,4.46,0.5,3.47,0.4,2.99,0.4,2.74,2.59,0.4,2.75,1.87
12/12,4.42,0.7,3.43,0.7,2.94,0.4,2.74,2.51,0.4,2.75,1.91
12/19,4.47,0.7,3.51,0.6,2.96,0.4,2.75,2.57,0.5,2.74,1.90
12/26,4.48,0.7,3.52,0.7,3.00,0.4,2.74,2.56,0.5,2.75,1.92
