Week,30 yr FRM,30 yr fees and points,15 yr FRM,15 yr fees and points,5/1 ARM,5/1 ARM fees and points,5/1  ARM margin,1  yr ARM,1 yr ARM fees and points,1 yr ARM margin,30 yr FRM 1 yr ARM spread
1/6,4.77,0.8,4.13,0.8,3.75,0.7,2.75,3.24,0.6,2.76,1.53
1/13,4.71,0.8,4.08,0.7,3.72,0.7,2.75,3.23,0.6,2.77,1.48
1/20,4.74,0.8,4.05,0.8,3.69,0.7,2.75,3.25,0.6,2.76,1.49
1/27,4.80,0.7,4.09,0.7,3.70,0.7,2.74,3.26,0.6,2.77,1.54
2/3,4.81,0.8,4.08,0.8,3.69,0.7,2.74,3.26,0.6,2.76,1.55
2/10,5.05,0.7,4.29,0.7,3.92,0.6,2.75,3.35,0.6,2.76,1.70
2/17,5.00,0.7,4.27,0.7,3.87,0.6,2.75,3.39,0.6,2.76,1.61
2/24,4.95,0.6,4.22,0.7,3.80,0.6,2.74,3.40,0.6,2.76,1.55
3/3,4.87,0.7,4.15,0.7,3.72,0.6,2.74,3.23,0.6,2.76,1.64
3/10,4.88,0.7,4.15,0.7,3.73,0.6,2.74,3.21,0.5,2.76,1.67
3/17,4.76,0.7,3.97,0.7,3.57,0.6,2.74,3.17,0.6,2.76,1.59
3/24,4.81,0.7,4.04,0.7,3.62,0.6,2.74,3.21,0.6,2.76,1.60
3/31,4.86,0.7,4.09,0.7,3.70,0.7,2.74,3.26,0.6,2.76,1.60
4/7,4.87,0.7,4.10,0.7,3.72,0.6,2.74,3.22,0.7,2.76,1.65
4/14,4.91,0.6,4.13,0.7,3.78,0.6,2.74,3.25,0.6,2.76,1.66
4/21,4.80,0.7,4.02,0.7,3.61,0.6,2.74,3.16,0.6,2.76,1.64
4/28,4.78,0.7,3.97,0.7,3.51,0.6,2.75,3.15,0.6,2.76,1.63
5/5,4.71,0.7,3.89,0.7,3.47,0.6,2.74,3.14,0.5,2.76,1.57
5/12,4.63,0.7,3.82,0.7,3.41,0.6,2.74,3.11,0.5,2.76,1.52
5/19,4.61,0.7,3.80,0.7,3.48,0.6,2.74,3.15,0.6,2.76,1.46
5/26,4.60,0.7,3.78,0.7,3.41,0.5,2.74,3.11,0.5,2.76,1.49
6/2,4.55,0.6,3.74,0.7,3.41,0.6,2.74,3.13,0.6,2.76,1.42
6/9,4.49,0.7,3.68,0.7,3.28,0.5,2.74,2.95,0.5,2.76,1.54
6/16,4.50,0.7,3.67,0.7,3.27,0.6,2.74,2.97,0.5,2.76,1.53
6/23,4.50,0.8,3.69,0.7,3.25,0.6,2.74,2.99,0.5,2.76,1.51
6/30,4.51,0.7,3.69,0.7,3.22,0.6,2.74,2.97,0.6,2.76,1.54
7/7,4.60,0.7,3.75,0.7,3.30,0.6,2.74,3.01,0.6,2.76,1.59
7/14,4.51,0.7,3.65,0.6,3.29,0.6,2.74,2.95,0.5,2.76,1.56
7/21,4.52,0.7,3.66,0.7,3.27,0.5,2.74,2.97,0.5,2.76,1.55
7/28,4.55,0.8,3.66,0.7,3.25,0.6,2.74,2.95,0.5,2.76,1.60
8/4,4.39,0.8,3.54,0.7,3.18,0.6,2.70,3.02,0.5,2.76,1.37
8/11,4.32,0.7,3.50,0.7,3.13,0.5,2.74,2.89,0.5,2.76,1.43
8/18,4.15,0.7,3.36,0.6,3.08,0.5,2.73,2.86,0.6,2.76,1.29
8/25,4.22,0.7,3.44,0.6,3.07,0.5,2.74,2.93,0.5,2.76,1.29
9/1,4.22,0.7,3.39,0.6,2.96,0.6,2.74,2.89,0.6,2.76,1.33
9/8,4.12,0.7,3.33,0.6,2.96,0.6,2.74,2.84,0.6,2.76,1.28
9/15,4.09,0.7,3.30,0.6,2.99,0.6,2.74,2.81,0.6,2.76,1.28
9/22,4.09,0.7,3.29,0.6,3.02,0.6,2.74,2.82,0.6,2.76,1.27
9/29,4.01,0.7,3.28,0.7,3.02,0.6,2.74,2.83,0.6,2.76,1.18
10/6,3.94,0.8,3.26,0.8,2.96,0.6,2.75,2.95,0.5,2.76,0.99
10/13,4.12,0.8,3.37,0.8,3.06,0.6,2.74,2.90,0.6,2.76,1.22
10/20,4.11,0.8,3.38,0.8,3.01,0.6,2.74,2.94,0.6,2.76,1.17
10/27,4.10,0.8,3.38,0.7,3.08,0.5,2.74,2.90,0.6,2.76,1.20
11/3,4.00,0.7,3.31,0.7,2.96,0.6,2.74,2.88,0.6,2.76,1.12
11/10,3.99,0.7,3.30,0.8,2.98,0.6,2.74,2.95,0.6,2.76,1.04
11/17,4.00,0.7,3.31,0.7,2.97,0.6,2.74,2.98,0.6,2.76,1.02
11/23,3.98,0.7,3.30,0.7,2.91,0.6,2.75,2.79,0.6,2.76,1.19
12/1,4.00,0.7,3.30,0.8,2.90,0.6,2.74,2.78,0.6,2.75,1.22
12/8,3.99,0.7,3.27,0.8,2.93,0.5,2.74,2.80,0.6,2.76,1.19
12/15,3.94,0.8,3.21,0.8,2.86,0.6,2.75,2.81,0.6,2.76,1.13
12/22,3.91,0.7,3.21,0.8,2.85,0.6,2.74,2.77,0.6,2.75,1.14
12/29,3.95,0.7,3.24,0.8,2.88,0.6,2.74,2.78,0.6,2.76,1.17
